Gen,1045A_Rep1_GFPp,1045A_Rep1_GFPm,1045A_Rep2_GFPp,1045A_Rep2_GFPm,1045A_Rep3_GFPp,1045A_Rep3_GFPm,1045A_Rep4_GFPp,1045A_Rep4_GFPm,1045A_Rep5_GFPp,1045A_Rep5_GFPm,1045A_Rep6_GFPp,1045A_Rep6_GFPm,1045A_Rep7_GFPp,1045A_Rep7_GFPm,1045A_Rep8_GFPp,1045A_Rep8_GFPm,1045A_Rep9_GFPp,1045A_Rep9_GFPm,A1_Rep1_GFPp,A1_Rep1_GFPm,A2_Rep1_GFPp,A2_Rep1_GFPm,B1_Rep1_GFPp,B1_Rep1_GFPm,B2_Rep1_GFPp,B2_Rep1_GFPm,C1_Rep1_GFPp,C1_Rep1_GFPm,C2_Rep1_GFPp,C2_Rep1_GFPm,D1_Rep1_GFPp,D1_Rep1_GFPm,D2_Rep1_GFPp,D2_Rep1_GFPm,A1_Rep2_GFPp,A1_Rep2_GFPm,A2_Rep2_GFPp,A2_Rep2_GFPm,B1_Rep2_GFPp,B1_Rep2_GFPm,B2_Rep2_GFPp,B2_Rep2_GFPm,C1_Rep2_GFPp,C1_Rep2_GFPm,C2_Rep2_GFPp,C2_Rep2_GFPm,D1_Rep2_GFPp,D1_Rep2_GFPm,D2_Rep2_GFPp,D2_Rep2_GFPm,A1_Rep3_GFPp,A1_Rep3_GFPm,A2_Rep3_GFPp,A2_Rep3_GFPm,B1_Rep3_GFPp,B1_Rep3_GFPm,B2_Rep3_GFPp,B2_Rep3_GFPm,C2_Rep3_GFPp,C2_Rep3_GFPm,D1_Rep3_GFPp,D1_Rep3_GFPm,D2_Rep3_GFPp,D2_Rep3_GFPm,A1_Rep4_GFPp,A1_Rep4_GFPm,A2_Rep4_GFPp,A2_Rep4_GFPm,C2_Rep4_GFPp,C2_Rep4_GFPm,D1_Rep4_GFPp,D1_Rep4_GFPm,D2_Rep4_GFPp,D2_Rep4_GFPm,A1_Rep5_GFPp,A1_Rep5_GFPm,A2_Rep5_GFPp,A2_Rep5_GFPm,B1_Rep5_GFPp,B1_Rep5_GFPm,C1_Rep5_GFPp,C1_Rep5_GFPm,C2_Rep5_GFPp,C2_Rep5_GFPm,D1_Rep5_GFPp,D1_Rep5_GFPm,D2_Rep5_GFPp,D2_Rep5_GFPm
0,35,15,35,15,35,15,35,15,35,15,35,15,25,25,25,25,25,25,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,45,5,45,5,45,5,45,5,45,5,45,5,45,5
1,41,11,50,17,46,42,64,53,88,35,52,74,14,46,4,94,3,104,90,5,135,57,69,46,92,119,64,59,52,103,114,31,17,57,69,7,122,30,52,80,82,104,68,54,69,89,51,9,42,28,87,55,52,15,62,83,52,85,95,59,163,35,38,124,75,14,85,9,76,50,81,23,96,58,67,15,76,22,25,104,108,48,135,47,68,20,3,0
2,71,9,77,0,111,68,32,36,34,24,48,46,6,48,0,105,2,92,68,0,75,17,8,73,3,189,7,42,11,91,64,2,1,80,65,0,95,9,3,101,5,122,5,105,8,119,60,2,7,210,45,73,53,0,0,143,0,129,9,122,103,12,1,187,41,2,114,0,0,160,130,11,1,129,51,1,111,10,2,126,18,105,59,74,58,4,64,0
3,81,3,128,0,10,71,7,49,7,64,21,122,0,99,0,139,0,106,75,16,74,7,4,76,0,143,0,57,0,163,132,15,0,146,53,0,109,0,0,142,0,86,0,171,0,123,119,0,4,244,32,126,35,0,0,178,0,148,1,196,134,0,0,70,18,0,89,0,0,143,174,3,0,184,45,0,76,0,0,190,1,144,16,123,65,0,122,0
4,106,0,102,0,5,96,0,128,1,134,1,120,0,101,0,115,0,144,50,0,100,4,0,135,0,157,0,175,0,158,148,0,0,105,58,0,92,0,NA,NA,0,135,NA,NA,0,146,56,0,0,149,2,153,18,0,NA,NA,0,233,0,164,205,0,0,90,12,0,130,0,NA,NA,99,0,NA,NA,126,0,80,0,NA,NA,NA,NA,NA,NA,54,0,NA,NA
5,111,0,122,0,0,167,0,190,0,168,0,201,0,147,0,81,0,146,48,0,108,0,0,102,NA,NA,0,70,0,176,155,0,0,112,NA,NA,135,0,NA,NA,NA,NA,NA,NA,NA,NA,93,0,0,17,0,114,85,0,NA,NA,NA,NA,NA,NA,20,0,NA,NA,8,0,NA,NA,NA,NA,104,0,NA,NA,63,0,115,0,NA,NA,NA,NA,NA,NA,152,0,NA,NA
6,130,5,NA,NA,0,115,0,124,0,138,0,157,NA,NA,NA,NA,NA,NA,51,0,112,0,0,115,NA,NA,NA,NA,NA,NA,103,0,NA,NA,NA,NA,119,0,NA,NA,NA,NA,NA,NA,NA,NA,56,0,0,40,0,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,0,NA,NA
7,101,3,NA,NA,0,158,0,96,0,125,0,129,NA,NA,NA,NA,NA,NA,NA,NA,191,0,NA,NA,NA,NA,NA,NA,NA,NA,109,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,114,22,NA,NA,0,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,19,0,NA,NA,0,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
